new double[] { 0.99, -0.02, -0.21, 0.24, -0.43, -1.65, -18.02, -7.76, 31.79, 52 },
new double[] { 1, 0, -0.22, 0.79, 1.59, 1.71, -17.43, -8.94, 32.96, 47 },
new double[] { 1, -0.02, -0.21, 0.98, 1.89, -1.59, -17.58, -7.91, 32.52, 48 },
new double[] { 0.99, -0.02, -0.22, 1.59, -0.85, 0.55, -17.43, -8.35, 32.08, 50 },
new double[] { 1, -0.02, -0.23, -0.37, 1.16, -1.22, -18.46, -8.5, 31.64, 55 },
new double[] { 0.99, -0.01, -0.21, 0.55, -0.31, 1.16, -16.85, -7.47, 31.79, 48 },
new double[] { 1.01, -0.03, -0.23, 1.83, -0.06, -0.61, -18.46, -8.5, 31.64, 59 },
new double[] { 0.99, -0.02, -0.22, 0.37, -1.22, -0.79, -15.97, -7.18, 30.91, 48 },
new double[] { 1, -0.03, -0.22, 1.1, -2.01, 2.2, -17.14, -8.94, 31.49, 55 },
new double[] { 0.98, -0.01, -0.22, -1.04, 4.76, -2.56, -17.29, -7.91, 30.76, 51 },
new double[] { 1.01, -0.03, -0.21, 0.49, -2.2, 2.26, -18.46, -9.38, 31.64, 49 },
new double[] { 1, -0.03, -0.21, 0.67, 2.08, -1.46, -16.7, -8.2, 32.23, 53 },
new double[] { 1, -0.02, -0.21, -0.61, 1.34, -0.37, -16.55, -8.06, 31.79, 61 },
new double[] { 0.99, -0.02, -0.22, 1.16, 1.1, -1.4, -17.58, -7.62, 32.81, 52 },
new double[] { 1.01, -0.03, -0.23, 0.67, -1.95, -0.31, -17.72, -8.64, 32.37, 51 },
new double[] { 0.98, -0.02, -0.21, 0.18, 2.26, -0.85, -17.58, -7.91, 33.11, 40 },
new double[] { 1.01, -0.01, -0.22, -2.44, 5.19, -0.31, -18.02, -8.94, 32.37, 61 },
new double[] { 1, -0.02, -0.21, 1.16, -0.06, -0.06, -18.31, -8.64, 32.96, 47 },
new double[] { 1.03, -0.02, -0.22, -1.34, 2.26, -1.46, -18.02, -7.47, 32.08, 47 },
new double[] { 1, -0.03, -0.2, 1.4, -2.5, 0.31, -18.6, -8.35, 32.08, 63 },
new double[] { 1.01, -0.02, -0.2, -0.67, 1.28, -2.14, -18.46, -7.03, 31.64, 48 },
new double[] { 0.98, -0.02, -0.2, 0.92, 2.81, -2.5, -17.58, -7.03, 31.64, 50 },
new double[] { 1, -0.02, -0.21, 1.77, -0.73, -0.43, -17.58, -7.32, 31.64, 52 },
new double[] { 0.99, -0.03, -0.21, 3.05, -0.61, 2.75, -17.29, -8.79, 31.05, 56 },
new double[] { 1, -0.03, -0.23, 4.21, -1.95, 1.22, -17.72, -7.18, 32.67, 50 },
new double[] { 0.99, -0.03, -0.21, -1.22, -0.12, 2.75, -17.14, -6.88, 30.91, 48 },
new double[] { 1.02, -0.03, -0.2, -0.43, 4.15, -2.87, -17.72, -6.59, 31.79, 61 },
new double[] { 1, -0.03, -0.2, 0.12, 1.89, -1.53, -17.58, -7.32, 31.64, 50 },
new double[] { 0.99, -0.03, -0.22, 0.31, 1.1, -2.2, -18.75, -8.2, 32.81, 47 },
new double[] { 1.01, -0.03, -0.21, 0.73, -1.71, 1.77, -18.02, -8.64, 32.08, 47 },
new double[] { 1, -0.03, -0.2, 0.31, 0.49, -1.46, -17.14, -7.76, 31.49, 66 },
new double[] { 1.01, -0.03, -0.21, 1.71, -2.08, -0.31, -18.02, -8.35, 31.49, 48 },
new double[] { 0.98, -0.02, -0.21, 1.28, 0.61, -2.26, -17.29, -8.5, 33.11, 51 },
new double[] { 1, -0.03, -0.21, 1.4, -0.61, 1.89, -16.85, -6.88, 31.79, 53 },
new double[] { 0.97, -0.03, -0.22, 4.09, 0.06, -1.22, -17.72, -8.35, 31.49, 52 },
new double[] { 1.02, -0.04, -0.24, -1.04, -1.4, 2.44, -17.58, -7.03, 32.81, 47 },
new double[] { 0.99, -0.03, -0.2, 0.98, 1.22, -0.67, -17.14, -7.47, 32.37, 52 },
new double[] { 1, -0.03, -0.23, 2.14, -0.67, 0.12, -17.58, -7.03, 32.52, 58 },
new double[] { 0.99, -0.03, -0.22, 0.31, -2.69, 0.92, -17.14, -7.18, 33.54, 48 },
new double[] { 1, -0.02, -0.21, -0.79, 1.65, 1.53, -18.02, -7.18, 32.37, 58 },
new double[] { 1.02, -0.03, -0.22, 0.24, 0.06, 0.55, -17.58, -7.32, 32.52, 48 },
new double[] { 1.01, -0.03, -0.22, 1.04, -1.04, -0.31, -17.43, -7.47, 33.54, 43 },
new double[] { 1.02, -0.04, -0.23, -2.26, 1.53, -2.69, -17.29, -6.45, 31.93, 78 },
new double[] { 0.99, -0.04, -0.22, 1.34, -0.98, -1.59, -18.16, -7.62, 32.81, 31 },
new double[] { 0.04, 0.02, 1.02, -0.06, 0.18, -0.85, 13.92, -1.9, 25.34, 436 },
new double[] { 0.04, 0.02, 1.02, 0.18, 0.61, -0.92, 14.79, -3.08, 25.93, 46 },
new double[] { 0.04, 0.02, 1.02, 0.12, 0.49, -0.61, 14.06, -2.93, 26.37, 27 },
new double[] { 0.04, 0.02, 1.02, 0.31, 0.61, -0.85, 14.06, -4.1, 25.2, 46 },
new double[] { 0.03, 0.02, 1.02, 0.12, 0.43, -0.79, 14.65, -2.93, 24.9, 57 },
new double[] { 0.04, 0.02, 1.01, 0.24, 0.79, -0.55, 14.65, -3.81, 26.95, 37 },
new double[] { 0.04, 0.01, 1.01, 0.12, 0.24, -0.79, 14.21, -2.49, 26.22, 50 },
new double[] { 0.03, 0.02, 1.02, 0.12, 0.49, -0.85, 13.77, -4.69, 26.07, 53 },
new double[] { 0.04, 0.01, 1.02, 0.31, 0.43, -0.67, 14.65, -3.22, 26.07, 55 },
new double[] { 0.04, 0.01, 1.02, 0, 0.49, -0.61, 14.79, -5.13, 27.39, 40 },
new double[] { 0.04, 0.01, 1.02, -0.12, 0.37, -0.61, 15.09, -3.96, 26.51, 48 },
new double[] { 0.04, 0.01, 1.02, 0.24, 0.37, -0.67, 14.79, -3.37, 26.81, 47 },
new double[] { 0.04, 0.01, 1.02, 0.12, 0.61, -0.73, 14.21, -3.37, 26.51, 59 },
new double[] { 0.04, 0.01, 1.02, 0.24, 0.49, -0.43, 14.5, -3.08, 27.39, 39 },
new double[] { 0.03, 0.02, 1.02, 0.24, 0.43, -0.61, 14.36, -3.22, 26.07, 59 },
new double[] { 0.04, 0.01, 1.02, 0.06, 0.61, -0.92, 14.21, -3.37, 26.22, 423 },
new double[] { 0.04, 0.01, 1.02, 0.31, 0.24, -0.85, 14.21, -2.49, 27.69, 41 },
new double[] { 0.04, 0.01, 1.02, 0.37, 0.43, -0.85, 15.09, -4.25, 25.93, 25 },
new double[] { 0.04, 0.01, 1.01, 0.43, 0.49, -0.79, 14.21, -3.37, 25.05, 49 },
new double[] { 0.03, 0.01, 1.02, 0.24, 0.61, -0.37, 14.06, -3.52, 26.66, 49 },
new double[] { 0.04, 0.01, 1.02, 0.06, 0.31, -0.85, 13.92, -3.37, 26.22, 50 },
new double[] { 0.03, 0.01, 1.02, 0.31, 0.55, -0.79, 13.77, -4.39, 25.2, 50 },
